cas_number,agent,iarc_group,year
531-76-0,Merphalan,2B,1987
531-82-8,N-[4-(5-Nitro-2-furyl)-2-thiazolyl]acetamide,2B,1987
532-82-1,Chrysoidine,3,1987
536-33-4,Ethionamide,3,1987
540-73-8,"1,2-Dimethylhydrazine",2A,1999
541-73-1,meta-Dichlorobenzene,3,1999
542-56-3,Isobutyl nitrite,2B,
542-75-6,"1,3-Dichloropropene (technical-grade)",2B,1999
542-78-9,Malonaldehyde,3,1999
545-06-2,Trichloroacetonitrile,3,1999
545-55-1,Tris(1-aziridinyl)phosphine oxide,3,1987
551-74-6,Mannomustine dihydrochloride,3,1987
555-84-0,1-[(5-Nitrofurfurylidene)amino]-2-imidazolidinone,2B,1987
556-52-5,Glycidol,2A,2000
562-10-7,Doxylamine succinate,3,2001
563-41-7,Semicarbazide hydrochloride,3,1987
563-47-3,"3-Chloro-2-methylpropene, technical grade",2B,2018
569-61-9,CI Basic Red 9,2B,2010
581-89-5,2-Nitronaphthalene,3,1989
592-62-1,Methylazoxymethanol acetate,2B,1987
593-60-2,Vinyl bromide,2A,2008
593-70-4,Chlorofluoromethane,3,1999
598-55-0,Methyl carbamate,3,1987
599-79-1,Sulfasalazine,2B,2016
602-60-8,9-Nitroanthracene,3,1987
602-87-9,5-Nitroacenaphthene,2B,1987
604-75-1,Oxazepam,2B,1996
606-20-2,"2,6-Dinitrotoluene",2B,1996
607-57-8,2-Nitrofluorene,2B,2014
609-20-1,"2,6-Dichloro-para-phenylenediamine",3,1987
611-06-3,"2,4-Dichloro-1-nitrobenzene",2B,
613-35-4,"N,N'-Diacetylbenzidine",2B,1987
615-05-4,"2,4-Diaminoanisole",2B,2001
615-28-1,ortho-Phenylenediamine dihydrochloride,2B,
615-53-2,N-Methyl-N-nitrosourethane,2B,1987
618-85-9,"3,5-Dinitrotoluene",3,1996
621-64-7,N-Nitrosodi-n-propylamine,2B,1987
627-12-3,n-Propyl carbamate,3,1987
630-20-6,"1,1,1,2-Tetrachloroethane",2B,2014
631-64-1,Dibromoacetic acid,2B,2013
632-99-5,Magenta,2B,2012
637-07-0,Clofibrate,3,1996
641-48-5,Dihydroaceanthrylene,3,2010
680-31-9,Hexamethylphosphoramide,2B,1999
684-93-5,N-Methyl-N-nitrosourea,2A,1987
693-98-1,2-Methylimidazole,2B,2013
712-68-5,"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",2B,1987
723-46-6,Sulfamethoxazole,3,2001
759-73-9,N-Ethyl-N-nitrosourea,2A,1987
765-34-4,Glycidaldehyde,2B,1999
789-07-1,2-Nitropyrene,3,1989
794-93-4,Dihydroxymethylfuratrizine (see also Panfuran S),3,1987
794-93-4,Panfuran S (containing dihydroxymethylfuratrizine),2B,1987
800-24-8,Aziridyl benzoquinone,3,1987
804-36-4,Nitrovin,3,1987
817-09-4,Trichlormethine (Trimustine hydrochloride),2B,1990
822-36-6,4-Methylimidazole,2B,2013
828-00-2,Dimethoxane,3,1987
832-69-9,1-Methylphenanthrene,3,2010
838-88-0,"4,4'-Methylene bis(2-methylaniline)",2B,1987
842-07-9,Sudan I,3,1987
846-50-4,Temazepam,3,1996
868-85-9,Dimethyl hydrogen phosphite,3,1999
892-21-7,3-Nitrofluoranthene,3,1987
915-67-3,Amaranth,3,1987
924-16-3,N-Nitrosodi-n-butylamine,2B,1987
930-55-2,N-Nitrosopyrrolidine,2B,1987
989-38-8,Rhodamine 6G,3,1987
1071-83-6,Glyphosate,2A,2017
1072-52-2,2-(1-Aziridinyl)ethanol,3,1987
1116-54-7,N-Nitrosodiethanolamine,2B,2000
1120-71-4,"1,3-Propane sultone",2A,2017
1143-38-0,Dithranol,3,1987
1163-19-5,Decabromodiphenyl oxide,3,1999
1309-37-1,Ferric oxide,3,1987
1309-64-4,Antimony trioxide,2B,1989
1314-62-1,Vanadium pentoxide,2B,2006
1317-60-8,Haematite,3,1987
1330-20-7,Xylenes,3,1999
77536-66-4,* tremolite),1,2012
1313-27-5,Molybdenum trioxide,2B,2018
1333-86-4,Carbon black,2B,2010
1336-36-3,Polychlorinated biphenyls,1,2016
